NRO_DETECCION,FECHA_PAPELETA,REGION,CARRETERA,LATITUD,LONGITUD,LIMITE_VELOCIDAD,VELOCIDAD_DETECTADA,FECHA_CORTE,lat,lon
182,20191101,LIMA,Panamericana Sur,-12.73208889,-76.61539444,100,111,20211003,-12.73208889,-76.61539444
183,20191101,LIMA,Panamericana Sur,-12.73208889,-76.61539444,100,117,20211003,-12.73208889,-76.61539444
184,20191101,LIMA,Panamericana Sur,-12.73209444,-76.61540278,100,107,20211003,-12.73209444,-76.61540278
185,20191101,LIMA,Panamericana Sur,-12.73209444,-76.61540278,100,108,20211003,-12.73209444,-76.61540278
186,20191101,LIMA,Panamericana Sur,-12.73200833,-76.61514167,100,110,20211003,-12.73200833,-76.61514167
187,20191101,LIMA,Panamericana Sur,-12.73204167,-76.61540833,100,110,20211003,-12.73204167,-76.61540833
188,20191101,LIMA,Panamericana Sur,-12.73206111,-76.6154,100,108,20211003,-12.73206111,-76.6154
189,20191101,LIMA,Panamericana Sur,-12.73206111,-76.6154,100,106,20211003,-12.73206111,-76.6154
190,20191101,LIMA,Panamericana Sur,-12.73208333,-76.61541667,100,121,20211003,-12.73208333,-76.61541667
191,20191101,LIMA,Panamericana Sur,-12.73201667,-76.61543333,100,119,20211003,-12.73201667,-76.61543333
192,20191101,LIMA,Panamericana Sur,-12.73208056,-76.61539444,100,106,20211003,-12.73208056,-76.61539444
193,20191101,LIMA,Panamericana Sur,-12.73208056,-76.61539444,100,110,20211003,-12.73208056,-76.61539444
194,20191101,LIMA,Panamericana Sur,-12.71027222,-76.63283056,100,110,20211003,-12.71027222,-76.63283056
195,20191101,LIMA,Panamericana Sur,-12.71027222,-76.63283056,100,120,20211003,-12.71027222,-76.63283056
196,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,90,104,20211003,-11.44855556,-77.34245
197,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,112,20211003,-11.44855556,-77.34245
198,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,90,99,20211003,-11.44855556,-77.34245
199,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,90,102,20211003,-11.44855556,-77.34245
200,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,90,96,20211003,-11.44855556,-77.34245
201,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,111,20211003,-11.44855556,-77.34245
202,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,106,20211003,-11.44855556,-77.34245
203,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,119,20211003,-11.44855556,-77.34245
204,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,111,20211003,-11.44855556,-77.34245
205,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,135,20211003,-11.44855556,-77.34245
206,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,130,20211003,-11.44855556,-77.34245
207,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,106,20211003,-11.44855556,-77.34245
208,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,112,20211003,-11.44855556,-77.34245
209,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,123,20211003,-11.44855556,-77.34245
210,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,108,20211003,-11.44855556,-77.34245
211,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,132,20211003,-11.44855556,-77.34245
212,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,132,20211003,-11.44855556,-77.34245
213,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,111,20211003,-11.44855556,-77.34245
214,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,106,20211003,-11.44855556,-77.34245
215,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,112,20211003,-11.44855556,-77.34245
