CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,lat,lon,fecha,fallecidos,"('ruta',)",km_red,dist_linea_km,tramo_km0,tramo_km1
A-2021-07-146,06/07/2021,10:00,DESPISTE,2,2,1.0,LIMA,HUAURA,SAYAN,RURAL,CARRETERA,NACIONAL,PE-18,-11.191100360128829,-77.30334008873774,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-11.191100360128829,-77.30334008873774,2021-07-06,2,PE-18,30.594960050481276,0.005498626604346291,27.425,42.272
A-2021-07-37,07/07/2021,05:00,CHOQUE,1,0,,MADRE DE DIOS,TAMBOPATA,INAMBARI,RURAL,CARRETERA,NACIONAL,PE-30C,-12.885875129843052,-70.02098674946659,,,,,,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.885875129843052,-70.02098674946659,2021-07-07,1,PE-30C,321.4940386991783,0.0041928003648231136,315.106,330.03
A-2021-07-59,07/07/2021,07:40,CHOQUE,1,0,2.0,LA LIBERTAD,ASCOPE,RAZURI,RURAL,CARRETERA,NACIONAL,PE-1N,-7.6118045,-79.3688091,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,-7.6118045,-79.3688091,2021-07-07,1,PE-1N,640.547488481123,0.02210297906856416,624.329,651.352
A-2021-07-233,07/07/2021,11:30,CHOQUE,1,0,0.0,LIMA,LIMA,COMAS,URBANA,CARRETERA,NACIONAL,PE-20A,-11.910779,-77.05586,NUBLADO,ESCOLAR,INTERSECCIÓN,PLANA ,ASFALTADA,NO,,,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.910779,-77.05586,2021-07-07,1,PE-20A,2.4456298544043045,0.02626448267234116,0.0,5.468
A-2021-07-78,07/07/2021,16:30,CHOQUE,8,8,3.0,TACNA,TACNA,LA YARADA LOS PALOS,RURAL,CARRETERA,NACIONAL,PE-1SD,-18.125966,-70.391346,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,-18.125966,-70.391346,2021-07-07,8,PE-1SD,374.3059234525117,0.00020192528714722374,366.594,386.089
A-2021-07-29,07/07/2021,21:10,CHOQUE,2,1,2.0,PUNO,CHUCUITO,ZEPITA,RURAL,CARRETERA,NACIONAL,PE-3S,-16.43036876686359,-69.16751835808462,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-16.43036876686359,-69.16751835808462,2021-07-07,2,PE-3S,1489.9473440447446,0.003720877315880992,1472.092,1501.592
A-2021-07-34,08/07/2021,02:10,CHOQUE,1,2,2.0,ANCASH,HUAYLAS,CARAZ,RURAL,CARRETERA,NACIONAL,PE-3N,-9.072865102671804,-77.78696410785597,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,-9.072865102671804,-77.78696410785597,2021-07-08,1,PE-3N,644.8903333134675,8.650866825683765e-05,638.273,648.476
A-2021-07-46,08/07/2021,14:31,DESPISTE,1,3,1.0,TACNA,TACNA,ALTO DE LA ALIANZA,RURAL,CARRETERA,NACIONAL,PE-38,-17.995197,-70.262317,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-17.995197,-70.262317,2021-07-08,1,PE-38,4.114600275301699,0.009007898200993831,1.779,5.21
A-2021-07-60,08/07/2021,16:45,CHOQUE,1,0,2.0,LA LIBERTAD,PACASMAYO,PACASMAYO,RURAL,CARRETERA,NACIONAL,PE-1N,-7.407695,-79.557017,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-7.407695,-79.557017,2021-07-08,1,PE-1N,676.9175390135105,0.01446123269014278,674.149,684.193
A-2021-07-116,09/07/2021,00:55,ATROPELLO FUGA,1,0,0.0,CAJAMARCA,CHOTA,CHOTA,URBANA,CARRETERA,NACIONAL,PE-3N,-6.5754156,-78.63548693,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.5754156,-78.63548693,2021-07-09,1,PE-3N,1418.5382996518813,1.685883251140419,1417.55,1422.486
A-2021-07-151,09/07/2021,18:00,ATROPELLO FUGA,1,0,0.0,PUNO,AZANGARO,SANTIAGO DE PUPUJA,RURAL,CARRETERA,NACIONAL,PE-34B,-15.017495,-70.1798524,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-15.017495,-70.1798524,2021-07-09,1,PE-34B,35.420793931659674,0.003384034651264927,25.065,40.059
A-2021-07-296,10/07/2021,04:00,CHOQUE,1,0,2.0,ANCASH,CASMA,CASMA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.45911297221642,-78.33128691074788,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-9.45911297221642,-78.33128691074788,2021-07-10,1,PE-1N,378.6535220298044,0.005904675691590185,371.126,381.103
A-2021-07-44,10/07/2021,05:00,DESPISTE,2,1,1.0,HUANCAVELICA,TAYACAJA,QUICHUAS,RURAL,CARRETERA,NACIONAL,PE-3SD,-12.4888976,-74.6497887,DESPEJADO,RURAL,CURVA,PLANA ,CASCAJO/RIPIO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.4888976,-74.6497887,2021-07-10,2,PE-3SD,95.65638742022125,0.0015391609516276963,67.586,101.1
A-2021-07-36,10/07/2021,05:45,CHOQUE,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-12.038659507054833,-77.12718311012668,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,SI,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,-12.038659507054833,-77.12718311012668,2021-07-10,1,PE-20,12.682439568478372,0.01509427983026575,10.961,14.331
A-2021-07-183,10/07/2021,22:55,CHOQUE,1,0,2.0,CUSCO,ANTA,ANTA,URBANA,CARRETERA,NACIONAL,PE-3S,-13.463102,-72.147352,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),-13.463102,-72.147352,2021-07-10,1,PE-3S,946.2970626652962,0.0015132864322410643,946.122,957.459
A-2021-07-64,10/07/2021,23:50,ATROPELLO FUGA,1,0,1.0,LA LIBERTAD,TRUJILLO,HUANCHACO,URBANA,CARRETERA,NACIONAL,PE-1N,-8.126609,-79.075534,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-8.126609,-79.075534,2021-07-10,1,PE-1N,568.7059687414683,0.0025536097369644956,560.019,576.546
A-2021-07-133,11/07/2021,05:20,ATROPELLO,1,0,1.0,CUSCO,CUSCO,SAYLLA,URBANA,CARRETERA,NACIONAL,PE-3S,-13.555456,-71.856487,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-13.555456,-71.856487,2021-07-11,1,PE-3S,986.2568375661118,0.002048885505628089,985.559,987.311
A-2021-07-236,11/07/2021,10:30,DESPISTE,1,1,1.0,PIURA,SULLANA,IGNACIO ESCUDERO,URBANA,CARRETERA,NACIONAL,PE-1N,-4.83667332625442,-80.8964646475364,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-4.83667332625442,-80.8964646475364,2021-07-11,1,PE-1N,1056.9467811011214,0.0010238619841958702,1053.646,1058.674
A-2021-07-86,11/07/2021,15:00,ATROPELLO FUGA,1,0,0.0,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,URBANA,CARRETERA,NACIONAL,PE-5N,-5.907573,-77.324103,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-5.907573,-77.324103,2021-07-11,1,PE-5N,1105.6350518314453,0.0031824700462699473,1098.97,1147.353
A-2021-07-43,11/07/2021,20:00,ATROPELLO,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-11.994312950467313,-77.1259433100459,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,SI,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-11.994312950467313,-77.1259433100459,2021-07-11,1,PE-20,19.16941866504836,0.003155606076697024,0.0,19.45
A-2021-07-304,12/07/2021,03:30,CHOQUE,1,2,2.0,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,RURAL,CARRETERA,NACIONAL,PE-5N,-6.517511240967366,-76.3615952657631,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-6.517511240967366,-76.3615952657631,2021-07-12,1,PE-5N,941.3273078404573,0.004535903685520417,940.794,942.734
A-2021-07-297,12/07/2021,04:50,CHOQUE,1,0,2.0,ANCASH,SANTA,NEPEÑA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.234413370363791,-78.44856350500798,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-9.234413370363791,-78.44856350500798,2021-07-12,1,PE-1N,408.02344503544106,0.003946044342655987,401.181,412.877
A-2021-07-48,12/07/2021,06:15,CHOQUE,4,6,2.0,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,RURAL,CARRETERA,NACIONAL,PE-34A,-15.758273,-70.965986,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,NO,,,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-15.758273,-70.965986,2021-07-12,4,PE-34A,182.59703981224348,0.0036996109640131413,177.784,188.03
A-2021-07-61,12/07/2021,08:10,CHOQUE,1,0,4.0,ICA,ICA,SANTIAGO,RURAL,CARRETERA,NACIONAL,PE-1S,-14.215792,-75.709245,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-14.215792,-75.709245,2021-07-12,1,PE-1S,315.12387356036675,0.007519773832601862,313.869,315.211
A-2021-07-81,12/07/2021,09:45,CHOQUE,1,0,2.0,LA LIBERTAD,CHEPEN,CHEPEN,RURAL,CARRETERA,NACIONAL,PE-08,-7.320172,-79.370243,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,NO ESTABLECER EL DERECHO DE PASO,-7.320172,-79.370243,2021-07-12,1,PE-08,12.769359502367315,0.0027864119478475864,0.0,18.568
A-2021-07-74,12/07/2021,14:30,CHOQUE,2,0,2.0,JUNIN,CHANCHAMAYO,PERENE,RURAL,CARRETERA,NACIONAL,PE-5S,-10.893806921559912,-74.93667564283874,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.893806921559912,-74.93667564283874,2021-07-12,2,PE-5S,50.75767544021173,0.002061279393139722,46.36,58.784
A-2021-07-70,12/07/2021,16:00,CHOQUE,2,4,2.0,CAJAMARCA,CAJAMARCA,MAGDALENA,RURAL,CARRETERA,NACIONAL,PE-08,-7.280169,-78.588818,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-7.280169,-78.588818,2021-07-12,2,PE-08,125.39026382057787,0.0017082542211472429,91.707,125.84
A-2021-07-103,12/07/2021,22:50,ATROPELLO FUGA,1,0,0.0,LAMBAYEQUE,CHICLAYO,PIMENTEL,RURAL,CARRETERA,NACIONAL,PE-1N,-6.7432016,-79.8756589,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.7432016,-79.8756589,2021-07-12,1,PE-1N,787.9736839912488,0.014888343270579283,782.244,795.961
A-2021-07-51,13/07/2021,07:40,CHOQUE,1,0,2.0,PUNO,CHUCUITO,POMATA,RURAL,CARRETERA,NACIONAL,PE-3S,-16.314404199339357,-69.26494716577756,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,-16.314404199339357,-69.26494716577756,2021-07-13,1,PE-3S,1471.3572903074094,0.006262871898113685,1452.605,1472.092
A-2021-07-210,14/07/2021,09:00,DESPISTE,1,0,1.0,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,RURAL,CARRETERA,NACIONAL,PE-1NJ,-6.017674981373157,-79.68494826132546,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-6.017674981373157,-79.68494826132546,2021-07-14,1,PE-1NJ,83.10118726113109,0.007366300609696889,36.368,85.597
A-2021-07-71,14/07/2021,18:20,ATROPELLO FUGA,1,0,,CALLAO,CALLAO,VENTANILLA,URBANA,CARRETERA,NACIONAL,PE-20,-11.91642125254102,-77.1289141925749,DESPEJADO,INDUSTRIAL,OTRO,INCLINADA,ASFALTADA,SI,INFORMATIVA (I),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.91642125254102,-77.1289141925749,2021-07-14,1,PE-20,10.43932030034188,0.004748492490123612,0.0,19.45
A-2021-07-147,14/07/2021,23:00,ATROPELLO FUGA,1,0,,LIMA,HUAURA,HUACHO,RURAL,CARRETERA,NACIONAL,PE-1N,-11.159255736074789,-77.59199499462859,,,,,,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.159255736074789,-77.59199499462859,2021-07-14,1,PE-1N,143.51524065746568,0.008364550058860061,143.186,148.186
A-2021-07-248,15/07/2021,04:30,ATROPELLO,1,0,0.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-1N,-12.018492884416814,-77.05971127194398,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.018492884416814,-77.05971127194398,2021-07-15,1,PE-1N,12.994538340862311,0.01647760605586812,7.877,13.072
A-2021-07-106,15/07/2021,15:10,DESPISTE,1,1,1.0,SAN MARTIN,RIOJA,RIOJA,RURAL,CARRETERA,NACIONAL,PE-5N,-6.031427,-77.206819,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),-6.031427,-77.206819,2021-07-15,1,PE-5N,1085.8571793342155,0.009378753958740943,1081.115,1098.97
A-2021-07-237,16/07/2021,14:45,ATROPELLO,1,0,1.0,PIURA,AYABACA,PAIMAS,RURAL,CARRETERA,NACIONAL,PE-1NT,-4.624891353749046,-79.95898957912434,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-4.624891353749046,-79.95898957912434,2021-07-16,1,PE-1NT,25.082882696616153,0.0007355037554119349,0.0,27.5
A-2021-07-96,16/07/2021,18:15,ATROPELLO FUGA,1,0,0.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-11.988771741260638,-77.12541766532088,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,TROCHA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.988771741260638,-77.12541766532088,2021-07-16,1,PE-20,18.555109720418052,0.017439937792089674,0.0,19.45
A-2021-07-111,17/07/2021,04:30,DESPISTE,1,0,1.0,HUANCAVELICA,HUAYTARA,PILPICHACA,RURAL,CARRETERA,NACIONAL,PE-28A,-13.4521672174203,-74.9973989385413,NUBLADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-13.4521672174203,-74.9973989385413,2021-07-17,1,PE-28A,174.1620392633921,0.00046375170763112653,173.171,174.725
A-2021-07-305,17/07/2021,08:30,CHOQUE,1,0,2.0,SAN MARTIN,LAMAS,TABALOSOS,RURAL,CARRETERA,NACIONAL,PE-5N,-6.31581427443118,-76.7068584524363,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-6.31581427443118,-76.7068584524363,2021-07-17,1,PE-5N,1006.7108537160743,0.0050462600770221,955.486,1040.805
A-2021-07-274,17/07/2021,19:00,ATROPELLO FUGA,1,0,,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-12.001538390304228,-77.12682896429786,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-12.001538390304228,-77.12682896429786,2021-07-17,1,PE-20,8.488277592524089,0.006151104678626444,8.073,10.961
A-2021-07-199,18/07/2021,04:30,ATROPELLO,1,0,1.0,LIMA,HUAURA,HUACHO,URBANA,CARRETERA,NACIONAL,PE-1N,-11.11998170758802,-77.59402055291598,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),NO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,-11.11998170758802,-77.59402055291598,2021-07-18,1,PE-1N,148.00889998229826,0.0007664141739462815,143.186,148.186
A-2021-07-91,18/07/2021,04:30,ATROPELLO,1,0,1.0,TACNA,TACNA,SAMA,RURAL,CARRETERA,NACIONAL,PE-1S,-17.876742,-70.451452,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),-17.876742,-70.451452,2021-07-18,1,PE-1S,1263.0814166257524,0.002597866686388247,1262.43,1285.875
A-2021-07-238,18/07/2021,12:31,CHOQUE,1,0,1.0,PIURA,TALARA,EL ALTO,RURAL,CARRETERA,NACIONAL,PE-1N,-4.228173353940337,-81.17287156157471,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-4.228173353940337,-81.17287156157471,2021-07-18,1,PE-1N,1153.475475126286,0.005783029384991779,1149.22,1154.212
A-2021-07-148,18/07/2021,19:20,CHOQUE FUGA,1,1,,LIMA,HUAURA,VEGUETA,RURAL,CARRETERA,NACIONAL,PE-1N,-10.92706561404527,-77.6518670560507,,,,,,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.92706561404527,-77.6518670560507,2021-07-18,1,PE-1N,172.52822566386573,0.003459200480347585,167.558,181.172
A-2021-07-101,18/07/2021,23:00,ATROPELLO FUGA,1,0,0.0,AREQUIPA,AREQUIPA,CERRO COLORADO,URBANA,CARRETERA,NACIONAL,PE-34A,-16.3122898,-71.6097602,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,NO,,,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-16.3122898,-71.6097602,2021-07-18,1,PE-34A,48.14054517198062,0.003262489164954628,43.306,60.488
A-2021-07-109,19/07/2021,04:40,DESPISTE,1,1,1.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,URBANA,CARRETERA,NACIONAL,PE-08B,-7.16536638,-78.4903542,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-7.16536638,-78.4903542,2021-07-19,1,PE-08B,1.333111797982515,0.0014087948117287561,0.0,3.695
A-2021-07-285,19/07/2021,08:00,ATROPELLO FUGA,1,0,,HUANUCO,AMBO,CONCHAMARCA,RURAL,CARRETERA,NACIONAL,PE-3N,-10.076634,-76.218674,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.076634,-76.218674,2021-07-19,1,PE-3N,215.7070480243303,0.001945087844642578,212.539,224.616
A-2021-07-153,19/07/2021,08:35,CHOQUE,1,1,3.0,LA LIBERTAD,PACASMAYO,PACASMAYO,RURAL,CARRETERA,NACIONAL,PE-1N,-7.414561,-79.549833,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,-7.414561,-79.549833,2021-07-19,1,PE-1N,675.8165228210539,0.0009005919021172186,674.149,684.193
A-2021-07-294,19/07/2021,11:00,CAÍDA DE PASAJERO,1,0,,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-11.944257565480138,-77.13135089364027,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,SI,IMPRUDENCIA DEL CONDUCTOR,FRENAR INTEMPESTIVAMENTE,-11.944257565480138,-77.13135089364027,2021-07-19,1,PE-20,13.526033549590656,0.025277415951246877,0.0,19.45
A-2021-07-300,19/07/2021,16:30,CHOQUE,1,0,2.0,ANCASH,SANTA,CHIMBOTE,RURAL,CARRETERA,NACIONAL,PE-12,-8.65878291287488,-78.26001658413668,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-8.65878291287488,-78.26001658413668,2021-07-19,1,PE-12,64.45940139374405,0.0026467963023498135,61.081,67.879
A-2021-07-195,19/07/2021,19:00,ATROPELLO,1,0,1.0,MOQUEGUA,ILO,ILO,URBANA,CARRETERA,NACIONAL,PE-1SD,-17.674146,-71.362063,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-17.674146,-71.362063,2021-07-19,1,PE-1SD,245.31704088345555,0.0023945174083752226,242.143,248.561
A-2021-07-256,21/07/2021,13:00,CHOQUE,2,0,0.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-20B,-11.996599900441687,-77.1126382063782,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-11.996599900441687,-77.1126382063782,2021-07-21,2,PE-20B,6.314,0.11302457977484816,6.314,6.437
A-2021-07-275,22/07/2021,04:50,ATROPELLO,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-12.044608902861452,-77.12655512713319,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,SI,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,-12.044608902861452,-77.12655512713319,2021-07-22,1,PE-20,13.339080132794264,0.0022733982692971924,10.961,14.331
A-2021-07-159,22/07/2021,05:00,DESPISTE,1,0,1.0,CUSCO,QUISPICANCHI,MARCAPATA,RURAL,CARRETERA,NACIONAL,PE-30C,-13.60481,-71.05254,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,-13.60481,-71.05254,2021-07-22,1,PE-30C,107.65666194469588,0.010972372928693512,55.563,114.322
A-2021-07-125,22/07/2021,05:25,CHOQUE,1,0,2.0,PIURA,SECHURA,SECHURA,RURAL,CARRETERA,NACIONAL,PE-1NK,-5.5149555,-80.8180217,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),INFORMATIVA (I),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-5.5149555,-80.8180217,2021-07-22,1,PE-1NK,42.88873718095308,0.0028203166744279647,40.532,46.94
A-2021-07-266,22/07/2021,21:15,CHOQUE,1,1,2.0,LIMA,BARRANCA,PATIVILCA,RURAL,CARRETERA,NACIONAL,PE-16A,-10.679559589668054,-77.7163400820985,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.679559589668054,-77.7163400820985,2021-07-22,1,PE-16A,11.377300716908806,0.0053799352193889234,0.99,18.521
