CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,lat,lon,fecha,fallecidos,"('ruta',)",km_red,dist_linea_km,tramo_km0,tramo_km1
A-2024-08-73,11/08/2024,14:30,DESPISTE,1,2,1.0,ICA,ICA,OCUCAJE,RURAL,CARRETERA,NACIONAL,PE-1S,-14.371367232160337,-75.62453217716346,SOLEADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-14.371367232160337,-75.62453217716346,2024-08-11,1,PE-1S,335.2999994702021,0.004298663306813264,318.083,339.179
A-2024-08-122,11/08/2024,14:45,VOLCADURA,1,0,,LIMA,LIMA,RIMAC,URBANA,CARRETERA,NACIONAL,PE-1N,-12.04178807370041,-77.01976772853801,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,REGULADORA (R),,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.04178807370041,-77.01976772853801,2024-08-11,1,PE-1N,7.200469750044919,0.0032825680855816932,5.809,7.877
A-2024-08-69,12/08/2024,06:05,DESPISTE,1,2,,LIMA,HUAURA,HUACHO,,CARRETERA,NACIONAL,PE-1N,-11.39602,-77.39377,,,,,,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.39602,-77.39377,2024-08-12,1,PE-1N,107.46453737179236,0.16176940377036755,103.374,108.252
A-2024-08-59,12/08/2024,10:55,CHOQUE,1,0,,AREQUIPA,AREQUIPA,CERRO COLORADO,RURAL,CARRETERA,NACIONAL,PE-34A,-16.384865,-71.579321,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-16.384865,-71.579321,2024-08-12,1,PE-34A,38.373145094601476,0.0047452192650425055,35.922,38.781
A-2024-08-15,12/08/2024,13:30,DESPISTE,1,0,1.0,LA LIBERTAD,PATAZ,PATAZ,RURAL,CARRETERA,NACIONAL,PE-10C,-7.838122708334145,-77.63366739129697,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-7.838122708334145,-77.63366739129697,2024-08-12,1,PE-10C,106.11128748180285,0.0015643086862429788,105.985,123.439
A-2024-08-74,12/08/2024,16:40,CHOQUE,1,0,2.0,ICA,ICA,ICA,URBANA,CARRETERA,NACIONAL,PE-1S,-14.060310520242956,-75.74196470421307,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-14.060310520242956,-75.74196470421307,2024-08-12,1,PE-1S,296.1140610107923,0.0037365207502223032,295.224,299.075
A-2024-08-17,14/08/2024,07:40,ATROPELLO,1,0,1.0,LA LIBERTAD,CHEPEN,PACANGA,RURAL,CARRETERA,NACIONAL,PE-1N,-7.1602441645,-79.4413993315,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-7.1602441645,-79.4413993315,2024-08-14,1,PE-1N,713.9530188800449,0.001959263937873838,708.764,715.634
A-2024-08-127,15/08/2024,07:00,ATROPELLO FUGA,1,0,,LIMA,LIMA,ATE,URBANA,CARRETERA,NACIONAL,PE-22,-12.006443750678637,-76.85009112695346,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.006443750678637,-76.85009112695346,2024-08-15,1,PE-22,16.744617983607856,0.0018760509803826925,13.056,17.887
A-2024-08-35,16/08/2024,11:00,DESPISTE,1,2,1.0,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,RURAL,CARRETERA,NACIONAL,PE-26B,-12.8091535047631,-74.92519732044848,SOLEADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.8091535047631,-74.92519732044848,2024-08-16,1,PE-26B,10.117878938627602,0.0008146579768774059,8.881,14.257
A-2024-08-20,16/08/2024,16:30,ATROPELLO,1,0,1.0,LA LIBERTAD,CHEPEN,PACANGA,URBANA,CARRETERA,NACIONAL,PE-1N,-7.1565058735,-79.4436700867,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-7.1565058735,-79.4436700867,2024-08-16,1,PE-1N,714.4606902103884,0.0028991131787060986,708.764,715.634
