id_tramo,lon_mid,lat_mid,dist_ingemmet_km,ingemmet_c5km,dist_peajes_km,dist_cinemometros_km,cinemometros_c2km,cinemometros_c10km
149,-74.0482931809999,-14.60357717949995,4.736786203165518,1.0,25.749722215489946,115.05248896884336,0.0,0.0
150,-73.87137057399994,-13.971795402499936,0.5701411547408286,17.0,86.45407827882238,156.06008159323184,0.0,0.0
151,-73.93159509749992,-14.216598904499932,2.4668552997235698,2.0,60.36706653907204,137.89253857337218,0.0,0.0
152,-77.15540599399992,-9.367132317999932,0.8173233977110871,24.0,62.94294533125724,123.69425252711927,0.0,0.0
153,-72.07221885049992,-13.313446007999943,2.656885769638054,11.0,124.42680928756867,318.48541842019534,0.0,0.0
154,-71.18448538399991,-17.625515328499944,4.572203690198463,3.0,5.552145400611827,9.231160196572812,0.0,50.0
155,-73.17352249999993,-3.593411499999945,1.6790634644471307,1.0,458.07454270237736,807.520634036092,0.0,0.0
156,-74.00160650249992,-13.33766243249994,2.671377946935267,4.0,32.60991929898915,192.65432240712795,0.0,0.0
157,-75.10565624649993,-15.297544317499927,7.578991022794676,0.0,3.5097526680971556,67.13791880175542,0.0,0.0
158,-79.69284349999992,-4.6135109999999315,0.5316003093015299,27.0,83.35784823784158,116.05290955295156,0.0,0.0
159,-79.93114963399992,-4.629687305499914,0.6428323813544747,14.0,66.70666304292686,90.55700203188937,0.0,0.0
160,-74.1643224844999,-13.18204398249992,0.6364482303127383,31.0,12.181980069137142,186.06412399714313,0.0,0.0
161,-77.11579456249993,-12.043058533999925,0.9197852666197683,12.0,32.98959812844327,30.735718878922036,0.0,0.0
162,-77.11551201899994,-12.047825095999912,1.4475500857263341,12.0,33.52019180765424,31.264221206969566,0.0,0.0
163,-77.69819413399992,-10.828046691499935,4.499975947636411,2.0,29.199533086947152,3.400285882708263,0.0,748.0
164,-78.80859938249992,-6.369616058999924,0.6581912920497044,13.0,69.16849540179687,113.45695482668388,0.0,0.0
165,-78.69837562999993,-6.2935033574999295,0.21770132575336024,11.0,61.16500671614501,128.26381667934496,0.0,0.0
166,-78.69440353649995,-6.2848639024999216,0.843368017966857,9.0,60.1779015096827,129.20210742800194,0.0,0.0
167,-78.69485314399992,-6.265404168499941,2.9325253056438165,2.0,58.02156044814636,130.51306767645653,0.0,0.0
168,-78.68954571999993,-6.273888434999947,2.1756620699856155,8.0,58.92847250910541,130.38042617235783,0.0,0.0
169,-78.69727180399991,-6.2570070404999285,3.8473922183149787,1.0,57.108092468396805,130.8955490549741,0.0,0.0
170,-78.71193560899991,-6.246936919499916,5.2029175527246725,1.0,56.13121893550882,130.36635452265438,0.0,0.0
171,-78.70865306349992,-6.253756991999921,4.372546729919244,1.0,56.850854033428796,130.15660772424047,0.0,0.0
172,-78.69735581049991,-6.2553263254999365,4.034098567018809,1.0,56.922331812752,131.00698947387042,0.0,0.0
173,-78.71811371299992,-6.202670599499925,3.420969569942746,2.0,51.31632444810453,133.08770941248062,0.0,0.0
174,-78.72280140399991,-6.159706507499948,0.8533800761472189,4.0,46.65258767078663,135.9553177211704,0.0,0.0
175,-78.71918187949993,-6.151548782999953,0.6472595078364289,4.0,45.69728578717942,136.87147383760217,0.0,0.0
176,-78.73186419599992,-6.09672180499993,1.3499835721056492,5.0,39.92348736242253,140.1822983299369,0.0,0.0
177,-78.81234497999992,-6.031522299499926,1.3027565246307355,16.0,36.028019361873355,139.68015563810934,0.0,0.0
178,-73.34565042449995,-15.293271101499926,1.0974933389825479,8.0,107.8827147286057,161.44704733929882,0.0,0.0
179,-73.24759653149991,-3.7278422679999323,0.5577939453040227,26.0,442.05879353033015,793.2564429226661,0.0,0.0
