fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-12,2021,1,1,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,-6.152203,-79.710059,PE-1NJ,65.96433331170114
2021-01-12,2021,1,1,0,1,0,CHOQUE,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUAURA,HUACHO,-11.18428545214436,-77.57624035482478,PE-1N,140.25676703311785
2021-01-13,2021,1,2,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,ASCOPE,CHICAMA,-7.879217,-79.130121,PE-1N,599.0678441524004
2021-01-13,2021,1,2,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,-11.9379866,-75.3100902,PE-3S,105.71593528673652
2021-01-13,2021,1,2,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,PASCO,PASCO,NINACACA,-10.8866919,-76.0892939,PE-3N,88.29921673955921
2021-01-14,2021,1,3,0,1,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,CAYLLOMA,MAJES,-16.500643,-72.4077,PE-1S,880.9545472036515
2021-01-14,2021,1,3,0,1,0,CAÍDA DE PASAJERO,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,TRUJILLO,LAREDO,-8.099108,-78.982811,PE-10A,5.781104745423787
2021-01-14,2021,1,3,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,APURIMAC,ABANCAY,TAMBURCO,-13.614821498578369,-72.86526021208026,PE-3S,783.1693021811407
2021-01-14,2021,1,3,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,SAN MARTIN,HUALLAGA,SACANCHE,-7.073887318598815,-76.72643989863553,PE-5N,827.9513893946103
2021-01-16,2021,1,5,0,1,4,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,JUNIN,JAUJA,LLOCLLAPAMPA,-11.7902744,-75.5797941,PE-3S,61.63960882205181
2021-01-16,2021,1,5,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,PIURA,TALARA,MANCORA,-4.106487634262628,-81.0503375330624,PE-1N,1175.8400033146063
2021-01-16,2021,1,5,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,CAJAMARCA,HUALGAYOC,BAMBAMARCA,-6.644675,-78.562526,PE-3N,1403.8849319878027
2021-01-16,2021,1,5,0,1,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.56383559956039,-77.8300923222641,PE-08B,264.36177049445433
2021-01-17,2021,1,6,0,1,0,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,TROCHA,CARRETERA,NACIONAL,CAJAMARCA,HUALGAYOC,BAMBAMARCA,-6.68536,-78.535275,PE-3N,1387.3945147605134
2021-01-17,2021,1,6,0,1,0,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUAURA,HUAURA,-11.081563591935444,-77.48472744108078,PE-1NE,11.758031453201635
